,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
38,292,Matias Ivan Persico,valentina ramirez,,,,,,7.250,6.700,6.900,7.100,7.350,,,,,,7.100,7.650,7.600,7.900,8.000,7.355
39,257,Alejandro Berón,Kelly Lettieri,,,,,,7.500,6.900,7.280,7.150,7.150,,,,,,7.200,7.600,7.200,7.850,7.700,7.353
40,446,Facundo Berrios Valdez,Simin Ogur,,,,,,7.800,7.250,7.500,7.650,7.150,,,,,,7.200,7.200,7.100,7.650,7.000,7.350
41,484,Jorge Lopez,Sandra Naccache,,,,,,7.900,6.750,6.950,7.100,7.400,,,,,,7.300,7.700,7.500,6.900,8.000,7.350
42,256,Joaquin Besga,Katherine Laitón,,,,,,7.250,6.100,7.700,7.750,7.400,,,,,,7.400,7.600,7.600,6.500,8.000,7.330
43,219,Esteban Adrian De Gregorio,Angela Romina Cides,,,,,,7.600,7.000,7.050,7.450,7.600,,,,,,6.850,7.000,7.300,7.950,7.500,7.330
44,431,Agustin Rojas,Victoria Olivella,7.000,7.800,7.400,6.200,7.700,,,,,,7.800,7.450,7.150,8.000,6.800,,,,,,7.330
45,371,Edwin Enrique Espinosa Rod,Alexa Yepes Arboleda,8.000,7.400,7.300,6.290,6.750,,,,,,7.800,7.500,7.250,7.400,7.600,,,,,,7.329
46,64,Lucas Cartagena,Lucila Diaz Colodrero,6.750,7.200,7.180,7.600,6.900,,,,,,7.900,7.380,7.750,6.800,7.800,,,,,,7.326
47,227,Walter Schefer,Micaela Dagnino,,,,,,7.200,7.300,7.600,7.250,7.200,,,,,,7.500,6.600,7.500,7.250,7.850,7.325
48,15,Julio Azorin,Belén Valdez,,,,,,7.400,7.400,7.400,7.320,7.000,,,,,,6.800,7.650,6.800,7.600,7.850,7.322
49,530,Dmitrii Astafev,Sabrina Amuchastegui,,,,,,7.850,7.700,7.200,7.800,7.300,,,,,,7.250,7.000,7.500,6.000,7.600,7.320
50,373,Miguel Angel Quintero,Yanel Pedraza,8.000,7.050,7.200,6.230,7.000,,,,,,7.500,7.480,7.780,7.600,7.250,,,,,,7.309
51,514,Jeyson Ravagli,Vanessa Giraldo,,,,,,7.100,7.200,7.150,7.300,7.400,,,,,,7.100,7.000,7.300,7.750,7.700,7.300
52,86,Evgeny Bykovskiy,Nelli Ganzhela,,,,,,7.500,6.600,7.200,7.250,7.100,,,,,,7.000,7.500,7.200,7.850,7.800,7.300
53,12,Dmitrii Soldatov,Alina Sukretnaia,,,,,,7.300,6.850,6.900,7.000,7.450,,,,,,7.200,7.700,7.200,7.800,7.500,7.290
54,103,Sergio Saucet,Veronica Carina Pascual,,,,,,7.500,6.400,7.200,6.900,7.350,,,,,,6.800,7.800,7.150,7.900,7.900,7.290
55,151,Aldo Romero,Cynthia Giannini Gottlob,,,,,,7.600,7.200,7.500,6.800,7.450,,,,,,6.700,7.600,7.500,6.850,7.700,7.290
56,239,Alejandro Segovia,Ana Isabel Lopera,,,,,,7.800,7.000,7.600,7.150,6.850,,,,,,7.000,7.000,7.100,7.500,7.900,7.290
57,563,Carlos Estigarribia,Marina Alcalde Sainz,7.300,7.300,7.450,6.390,7.000,,,,,,7.200,7.420,7.900,7.300,7.600,,,,,,7.286
58,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
59,404,Emmanuel David Avendaño,Marina Belén Machado Ri,q,,,,,7.600,7.350,7.300,7.700,7.500,,,,,,6.800,6.200,7.500,6.900,8.000,7.285
60,119,Ezequiel Núñez,Haruna Ashizawa,7.300,7.750,7.440,6.490,6.980,,,,,,6.500,7.160,8.000,7.600,7.600,,,,,,7.282
61,57,Luciano Capparelli,Rocio De Los Santos,,,,,,6.900,7.100,6.900,7.000,7.450,,,,,,7.100,7.100,7.300,7.950,8.000,7.280
62,470,Jeremias Fors,Veronica Vazquez,,,,,,7.950,6.600,7.600,7.150,7.300,,,,,,7.300,7.600,7.100,7.150,7.000,7.275
63,263,Emanuel Ledesma,Carolina Couto,7.000,7.700,7.420,6.300,7.200,,,,,,7.200,7.450,7.750,7.500,7.000,,,,,,7.252
64,154,Facundo Barrionuevo,Agustina Juanbelz,7.200,7.050,7.100,6.490,6.980,,,,,,8.000,7.330,7.750,7.600,7.000,,,,,,7.250
65,290,Elio Maximiliano Roldan,Lucia Perotti,,,,,,7.050,6.600,7.500,7.550,7.100,,,,,,6.800,7.300,7.500,7.200,7.900,7.250
66,116,Emilio Banco,Alejandra Jorgelina Herrer,,,,,,7.850,6.150,7.150,7.000,6.950,,,,,,6.950,7.100,7.600,7.900,7.700,7.235
67,342,Kevin Dos Santos,Miriam Gutierrez,,,,,,7.500,6.500,6.750,7.400,7.000,,,,,,7.150,7.500,7.200,7.650,7.700,7.235
68,644,Javier Lobos,Matias Vallejos,,,,,,7.800,6.850,6.800,6.900,7.000,,,,,,7.200,7.900,7.000,7.000,7.900,7.235
69,85,Vitalii Balan,Irina Martynova,,,,,,7.100,7.700,7.200,7.000,7.450,,,,,,6.900,7.600,7.000,7.100,7.200,7.225
70,494,Edison Chaves,Tatiana López,7.000,6.950,7.450,6.370,7.200,,,,,,7.050,7.440,7.650,7.500,7.600,,,,,,7.221
71,182,Yoonchul Hur,Juyoung Jeong,,,,,,7.050,6.100,7.050,7.300,7.350,,,,,,7.200,7.800,7.200,7.850,7.300,7.220
72,539,Mariela Josebachuili,Noelia Frias,,,,,,7.800,6.800,6.600,7.300,7.150,,,,,,7.300,7.300,7.500,7.750,6.700,7.220
