,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
153,417,Franco Emanuel Palleiro,Oriana Abril Hereñu,,,,,,6.500,6.200,7.300,6.500,7.250,,,,,,6.800,7.100,7.300,7.650,7.600,7.020
154,415,Aleksei Smirnov,Tatiana Kim,6.400,7.550,7.240,5.800,5.900,,,,,,,,,,,7.000,7.750,7.300,7.800,7.400,7.014
155,191,Diego López Tarazona,Fernanda Cardona Sossa,7.500,7.000,7.000,6.090,6.200,,,,,,6.500,7.460,7.350,7.600,7.400,,,,,,7.010
156,513,Jose Luis Barrios,Marcela Adriana Diaz,,,,,,6.950,7.200,7.100,7.000,7.350,,,,,,6.500,6.200,7.150,7.250,7.400,7.010
157,443,Kevin Valencia,Valentina Villarreal,7.300,6.900,7.080,5.850,6.750,,,,,,7.600,7.190,7.160,7.400,6.850,,,,,,7.008
158,259,Elbio Omar Peralta Reynoso,Liliana Haydee Salinas Pic,7.500,7.100,7.350,6.180,6.600,,,,,,6.800,7.400,6.990,6.700,7.400,,,,,,7.002
159,249,Mauricio Raúl Juárez,Marta Ines Pulenta,7.000,7.500,7.010,6.050,6.350,,,,,,7.600,6.500,7.900,6.900,7.200,,,,,,7.001
160,622,Giovanni,Selena,6.700,7.000,7.220,6.050,6.800,,,,,,7.300,7.190,7.750,7.000,7.000,,,,,,7.001
161,432,Jesús Taborda,Rocio Sanchez,7.000,7.250,7.450,6.020,6.000,7.400,6.630,7.050,7.750,7.400,,,,,,,,,,,6.995
162,593,Matias Rivas,Romina Elizabeth Cordon,e 7.300,6.850,7.130,6.000,6.600,,,,,,7.500,7.500,7.110,7.000,6.950,,,,,,6.994
163,441,Enzo Galarza,Agustina Ramilo,,,,,,7.750,6.400,7.180,6.800,6.700,,,,,,6.350,7.000,7.500,7.300,6.950,6.993
164,429,Jhonathan Giraldo,Suly Pachón,,,,,,5.950,6.150,7.200,7.100,7.100,,,,,,6.700,7.500,7.200,7.700,7.300,6.990
165,368,Navir Salas Morales,Monica Sant'Anna Furtado,,,,,,7.100,6.850,7.600,6.650,7.400,,,,,,5.700,6.900,7.400,6.500,7.800,6.990
166,94,Leandro Angel O'Connell,Marisol Barroso,,,,,,6.950,6.800,7.500,6.000,6.800,,,,,,7.000,7.300,6.900,7.100,7.500,6.985
167,262,Santiago Marolo,Naomi Gonzalez,6.400,7.100,7.110,6.370,7.400,,,,,,7.050,7.260,7.050,6.800,7.300,,,,,,6.984
168,540,Carlos Santos David,Mirella Santos David,6.750,6.950,7.050,6.020,6.700,,,,,,6.300,7.370,7.500,7.600,7.600,,,,,,6.984
169,200,Marcos Zapata Fuentes,Martha Alejandra Soria Tin,,,,,,7.300,6.500,6.500,7.000,6.800,,,,,,6.200,7.400,7.000,7.750,7.300,6.975
170,384,Dmitriy Kuznetsov,Olga Nikolaeva,7.000,7.000,7.150,6.010,6.400,,,,,,6.850,7.190,7.450,7.500,7.200,,,,,,6.975
171,285,Adrien Bariki Alaoui,Iro Davlanti Lo,7.000,6.700,7.050,5.750,6.200,,,,,,7.700,7.490,7.750,7.200,6.900,,,,,,6.974
172,419,Marcelo Sassi,Ines Correa,7.000,7.450,7.170,6.080,5.950,,,,,,7.200,7.350,6.900,6.900,7.700,,,,,,6.970
173,155,Lautaro Peyrelongue,Yasmina Baileche,7.400,6.800,7.180,6.190,6.200,,,,,,6.700,7.200,7.720,7.400,6.900,,,,,,6.969
174,299,Wamber Sarazola,Julia Cayo,,,,,,7.200,6.350,6.800,7.000,7.000,,,,,,6.950,7.000,7.200,6.500,7.600,6.960
175,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
176,434,Andres Bravo,Marianella Michaud,7.000,5.800,7.180,6.090,6.400,,,,,,7.600,7.580,7.650,7.000,7.300,,,,,,6.960
177,491,Roberto Pankow,Silvia Barba,,,,,,7.300,6.350,7.200,5.300,7.200,,,,,,6.950,7.500,7.200,7.350,7.200,6.955
178,73,Andrey Prokopov,Olga Dunaeva,7.000,5.700,7.300,6.090,6.000,,,,,,7.800,7.430,7.700,7.300,7.200,,,,,,6.952
179,546,Yecid Murillo Quiroga,Micaela Marin,6.750,6.950,7.110,5.950,7.000,,,,,,7.100,7.460,7.170,6.900,7.100,,,,,,6.949
180,666,Artem Luchin,Polina Luchina,6.500,7.150,7.390,6.030,6.650,,,,,,6.200,7.000,7.650,7.600,7.300,,,,,,6.947
181,465,Ramiro Perez Caricchio,Eva Laura Madar,6.400,6.800,7.200,5.990,6.400,,,,,,7.300,7.270,7.500,7.200,7.400,,,,,,6.946
182,20,Schubert Mendez,Adriana Ceretta,,,,,,7.800,6.200,7.300,6.700,7.250,,,,,,6.800,6.600,6.800,7.000,6.950,6.940
183,254,Branndon Cardenas,Susana Ortiz,6.400,6.650,7.250,5.900,6.850,,,,,,6.900,7.310,7.550,7.400,7.150,,,,,,6.936
184,16,Waldemar Guillermo Sasso,Myriam Del Valle Gamiete,a 7.000,7.650,7.000,5.950,6.150,,,,,,7.500,6.850,7.250,6.600,7.400,,,,,,6.935
185,294,Germán Prieto,Melina Paola Garcia,,,,,,7.500,6.500,7.400,6.850,7.000,,,,,,6.650,6.100,7.200,7.200,6.950,6.935
186,171,Ali Ekber Kaya,Angie Hernandez,,,,,,6.800,6.850,6.200,6.800,6.800,,,,,,7.150,7.100,7.100,6.950,7.500,6.925
187,389,Federico Antonio Frete,Laura Ayelen Grimaldi,,,,,,7.100,7.000,7.050,7.400,7.000,,,,,,6.700,6.100,7.500,6.300,7.000,6.915
188,527,Lidia Alejandra Soria,Luis Alberto Rojas,7.000,7.300,6.250,6.140,6.100,,,,,,6.900,7.460,7.200,7.500,7.300,,,,,,6.915
189,573,Otto Ignacio Honeker,Dilyara Safina,,,,,,6.700,6.500,7.050,6.650,7.100,,,,,,6.950,7.200,7.150,6.800,7.000,6.910
190,396,Nicolas Crededio,Galina Kostusheva,6.200,7.200,6.770,6.250,6.500,,,,,,7.200,7.320,7.210,7.100,7.300,,,,,,6.905
191,454,Horacio Aspiroz,Sandra Luisa Curiel,7.500,7.050,7.180,5.970,6.380,,,,,,7.500,7.230,7.110,6.300,6.800,,,,,,6.902
192,496,buda rodriguez,Mora Idil Ceyhan,7.000,7.150,7.240,5.900,6.050,,,,,,6.900,7.500,7.170,7.300,6.750,,,,,,6.896
193,34,Sergio Sottile,Erica Law,,,,,,7.100,6.350,6.700,6.000,7.100,,,,,,7.000,7.000,7.100,7.750,6.850,6.895
194,571,Raúl Ehijo,Ximena Santana,6.400,7.050,7.070,6.090,6.150,,,,,,7.500,7.460,7.400,7.000,6.800,,,,,,6.892
195,542,Mariano Serrudo,Sophie Louise Cellarius,6.400,6.950,7.150,6.010,6.700,,,,,,7.100,7.290,7.400,6.900,7.000,,,,,,6.890
196,107,Diego Ariel Butiler,Erika Urrutia Onel,6.200,7.050,7.300,5.990,6.950,,,,,,6.900,7.200,6.990,7.000,7.300,,,,,,6.888
197,534,Juan Maria Tachi Ponce,Gabriela Gómez,6.400,6.900,7.050,6.010,6.950,,,,,,6.800,7.250,7.110,7.400,7.000,,,,,,6.887
198,99,Marcos Carabajal,Ana Neil,7.000,6.950,7.180,5.990,6.980,,,,,,6.500,7.150,7.700,6.200,7.200,,,,,,6.885
199,628,Saúl Peña,Gisela Soledad Perez,,,,,,6.800,6.000,6.600,6.500,6.900,,,,,,6.800,7.800,7.100,6.850,7.500,6.885
200,197,Yumar Zambrano,Laura Guardia,6.200,6.000,7.400,5.870,6.430,,,,,,7.500,7.300,7.300,7.000,7.800,,,,,,6.880
201,498,Bastien Bollón Duret,Agustina Giuliani,,,,,,6.800,6.500,7.050,6.900,7.150,,,,,,6.250,7.200,6.900,6.550,7.500,6.880
202,406,Darío Falco,Lilian Domínguez,,,,,,7.100,6.350,6.500,6.500,6.900,,,,,,6.800,6.600,7.150,7.750,7.100,6.875
203,433,Edgardo Patita Palleyro,María Rosa Corsisky,,,,,,7.300,6.900,7.100,6.500,7.250,,,,,,6.800,7.100,7.300,6.200,6.300,6.875
204,651,Mario Gavito,Agustina Morbiducci,,,,,,6.700,6.950,6.750,6.900,7.000,,,,,,6.800,7.400,7.300,6.850,6.100,6.875
205,701,Yelena Odintsova,David Chartoriski,7.200,5.900,7.300,6.190,6.300,,,,,,,,,,,6.900,7.100,7.150,7.100,7.600,6.874
206,51,Javier Borlicher,Anabella Linzalata Raso,6.500,7.000,7.250,5.980,6.920,,,,,,7.300,7.350,6.220,6.800,7.400,,,,,,6.872
207,162,Oscar Alberto Garcia,Daniela Silvina Severo,6.750,7.250,7.050,6.050,5.950,,,,,,7.500,7.200,7.210,6.900,6.800,,,,,,6.866
208,340,Alexandr Frolov,Mariia Frolova,6.500,7.100,7.180,6.110,6.700,,,,,,7.200,6.850,7.010,7.000,7.000,,,,,,6.865
209,497,Cristian Plantera,Carla Minteguiaga,6.750,6.800,7.150,5.830,6.300,,,,,,7.100,7.200,7.300,6.800,7.400,,,,,,6.863
210,439,Ricardo Facundo Argañaraz,Siulhy Santander,,,,,,6.850,6.150,7.300,7.000,6.900,,,,,,6.300,5.700,7.500,7.100,7.800,6.860
211,72,Adriel Bournissen,María Soledad Mallo,6.750,5.790,7.350,6.390,6.550,,,,,,7.100,7.320,7.250,7.100,7.000,,,,,,6.860
212,101,Juan Pablo Jaramillo Cataño,Augusto Giraldo Villa,7.000,6.700,7.110,6.010,6.600,,,,,,6.100,7.320,7.350,7.000,7.400,,,,,,6.859
213,303,Carlos Flores,Marcia Martinucci,6.400,6.200,7.180,6.000,6.700,,,,,,6.900,7.330,7.450,7.200,7.200,,,,,,6.856
214,62,Javier Condori,Florencia Stefania Yebara,,,,,,6.500,6.300,7.100,6.300,6.000,,,,,,6.400,7.400,7.500,7.750,7.300,6.855
215,270,Enrique Mario Peralta,Vanesa Paula Amnini,,,,,,6.950,6.500,6.850,6.000,6.950,,,,,,6.400,7.600,7.150,7.150,7.000,6.855
216,512,Esteban Velazquez,Janet Segovia,,,,,,7.400,6.600,6.950,7.330,6.950,,,,,,6.700,6.000,7.000,6.100,7.500,6.853
217,79,Luis Angel Rojas,Ida Camelia Siljedal,6.400,7.000,7.180,6.170,6.050,,,,,,6.800,7.360,7.250,7.400,6.900,,,,,,6.851
218,190,Jared Ramos,Rocio Selesán,6.550,7.100,7.000,5.910,5.900,,,,,,7.500,7.440,7.330,6.600,7.100,,,,,,6.843
219,363,Emanuel Dos Reis,Nadina Balaguer,6.600,6.950,7.190,6.050,6.450,,,,,,6.500,7.310,7.050,7.000,7.300,,,,,,6.840
220,315,Armando Benitez,Seudy Villasanti,6.500,7.100,6.000,6.360,7.000,,,,,,7.050,7.440,7.050,6.600,7.300,,,,,,6.840
221,27,Juan Ignacio Etcheverry,Veronica Bachini,6.000,6.700,7.150,6.030,6.500,,,,,,7.800,7.100,7.150,7.000,6.950,,,,,,6.838
222,31,Juan Carlos Esposito,Norma Esther Martinez,7.000,6.900,7.110,6.200,6.450,,,,,,7.800,7.380,6.020,6.600,6.900,,,,,,6.836
223,48,Ruben Bourgeois,Elisa Vidal,7.200,6.800,7.100,6.090,6.600,,,,,,7.700,7.150,6.710,6.400,6.600,,,,,,6.835
224,129,Damian Márquez Veron,Natalia Casanova,6.500,5.400,7.070,6.290,7.100,,,,,,7.100,7.480,7.300,6.700,7.400,,,,,,6.834
225,193,Marco Nodari,Julieta Victoria Alao,,,,,,5.200,6.500,5.900,7.600,6.900,,,,,,7.800,7.300,7.200,6.100,7.800,6.830
226,509,Fabian Francisco Rodriguez,Eliana Gisela Mola,,,,,,6.900,6.250,6.500,6.950,6.900,,,,,,6.900,7.000,7.150,6.950,6.800,6.830
227,5,Fernando Decampos,Debora Ambrosano,6.400,6.550,7.130,6.100,6.500,,,,,,6.500,7.380,7.800,6.800,7.100,,,,,,6.826
228,180,Michael Bizquiazzo,Natalia Pintos,,,,,,7.100,6.800,6.400,6.900,6.750,,,,,,6.700,6.200,7.200,6.900,7.300,6.825
229,521,Nahuel Medina,Agustina Dos Santos,,,,,,6.500,6.800,7.050,6.900,6.900,,,,,,6.200,7.000,7.100,6.700,7.100,6.825
230,437,Jerry Perez,Christine Marie Lopez,6.750,6.700,7.140,5.890,6.000,,,,,,6.800,7.430,7.320,6.800,7.400,,,,,,6.823
231,626,Jorge Padilla,Ana Zoraida Gomez,6.200,6.850,6.900,5.900,6.300,,,,,,6.800,7.300,7.250,7.400,7.300,,,,,,6.820
232,185,Artem Topolian,Candela Nuño,7.000,5.800,7.100,6.080,6.650,,,,,,7.100,6.850,6.990,7.400,7.200,,,,,,6.817
233,308,Sebastian Motter,Aurora Chadoin,,,,,,6.700,6.650,6.900,7.600,7.100,,,,,,6.700,6.600,6.400,6.500,7.000,6.815
234,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
235,324,Carlos Galván,Claudia Narvaez,,,,,,7.500,5.900,7.050,6.300,6.850,,,,,,6.800,6.200,7.150,7.400,7.000,6.815
236,392,Ariel Fridman,Alejandra Zanotta,6.250,7.400,6.530,6.250,6.450,,,,,,7.100,7.370,7.050,6.100,7.600,,,,,,6.810
237,369,Iván Franco,Selena Zini,6.200,5.600,6.900,6.000,6.400,,,,,,7.800,7.490,7.650,7.500,6.500,,,,,,6.804
238,23,Abdullah Citil,Dilara Oz,,,,,,5.500,5.600,7.150,7.150,6.700,,,,,,6.800,7.100,7.000,7.500,7.500,6.800
239,334,Muller Dantas,Yasmina Mamana,6.300,6.800,7.100,5.920,6.400,,,,,,6.700,7.380,6.900,7.500,7.000,,,,,,6.800
240,589,Froyamel Corro,Magdalena Benitez,6.500,6.200,7.180,6.850,6.150,,,,,,6.600,7.250,7.070,6.800,7.400,,,,,,6.800
241,204,Edgard Llanos,Florencia Agopian,,,,,,7.500,5.850,7.050,6.600,6.950,,,,,,6.700,6.400,6.800,7.100,7.000,6.795
242,224,Martin Dante Mateu,Eliana Sol Traversa,7.000,5.800,7.120,5.750,6.350,,,,,,7.050,7.380,7.600,7.300,6.600,,,,,,6.795
243,330,Endre Szeghalmi,Andrea Serban,6.750,5.850,7.130,6.010,6.450,,,,,,7.100,7.430,7.310,6.900,7.000,,,,,,6.793
244,421,Jony Longoni,Raquel Muñoz,6.200,7.000,6.780,6.200,6.200,,,,,,6.800,7.470,6.750,7.000,7.500,,,,,,6.790
245,416,Mateus Tardivo,Driely Silva,6.200,6.900,7.180,5.950,6.100,,,,,,6.900,7.350,6.850,7.500,6.950,,,,,,6.788
246,420,Ezequiel Ristenpart,Ana Franco,6.250,7.150,7.190,6.280,6.500,,,,,,6.900,7.180,6.650,6.500,7.200,,,,,,6.780
247,75,Denis Ballarin,Xia Li,6.200,6.950,7.180,5.870,6.450,,,,,,6.900,7.330,6.990,6.400,7.500,,,,,,6.777
248,504,Ariel Giordanengo,Valentina Belizan,6.300,6.500,7.060,5.890,6.550,,,,,,7.100,7.320,7.100,6.800,7.150,,,,,,6.777
249,714,Horacio Sepulveda,Yesica Saavedra,6.300,7.000,6.390,6.170,6.300,,,,,,7.600,7.200,7.110,6.800,6.900,,,,,,6.777
250,570,Joshua Benítez,Beatriz Peralta,6.000,7.000,7.080,5.900,6.400,,,,,,6.900,7.460,7.120,6.800,7.100,,,,,,6.776
251,636,Agustin Gutierrez,Sofia Diaz,7.000,6.000,6.630,6.280,6.500,,,,,,7.500,6.800,7.350,6.500,7.200,,,,,,6.776
252,312,Felix Bon,Angela Sarmiento,7.000,6.150,7.130,5.810,6.000,,,,,,7.500,7.300,7.150,6.500,7.200,,,,,,6.774
253,291,Francisco Coria,Yael Nahir,6.350,7.100,7.190,5.850,6.500,,,,,,6.500,7.470,6.900,7.100,6.700,,,,,,6.766
254,6,Richard Herrera,Patricia Vargas,6.500,7.300,7.000,5.950,5.700,,,,,,7.100,7.400,6.750,7.000,6.950,,,,,,6.765
255,375,Leonardo Beltran,Soledad Maidana,6.400,6.900,7.150,5.980,5.950,,,,,,7.100,7.180,7.390,6.800,6.800,,,,,,6.765
256,505,Emmanuel Iaccino,Gabriela Garcia Ramirez,,,,,,6.500,6.350,6.300,7.550,6.700,,,,,,6.500,6.600,7.200,6.200,7.750,6.765
257,617,Laureano Alvarez Bava,Carito Sastre,6.250,6.950,7.050,6.280,6.200,,,,,,6.500,7.290,7.090,6.900,7.100,,,,,,6.761
258,76,Gonzalo Robín,Natalia Brest,6.500,7.050,7.050,5.690,5.900,,,,,,6.900,7.400,6.880,6.900,7.300,,,,,,6.757
259,165,Matias Gualtieri,Cecilia Segado,,,,,,6.300,6.150,6.300,6.400,7.000,,,,,,6.500,7.700,7.200,7.000,7.000,6.755
260,170,Gaston Ezequiel Boccardo A,gPaola Soledad Diaz,,,,,,6.150,6.500,6.950,7.250,6.600,,,,,,7.000,7.100,6.500,7.000,6.500,6.755
261,634,Andres Felipe Gonzalez Ball,eSara Gómez Quiroz,7.200,6.300,7.050,5.770,6.100,,,,,,6.800,7.300,7.010,7.200,6.800,,,,,,6.753
262,82,Diego Alba,Karen Diaz,7.000,7.050,7.010,6.090,6.050,,,,,,6.900,6.870,6.750,6.700,7.100,,,,,,6.752
263,247,Luis Eduardo Peñafiel Chang,Laurence Martin,,,,,,6.100,6.000,6.600,5.900,6.900,,,,,,6.400,6.900,7.200,7.850,7.650,6.750
264,401,Marcos Morinigo,Marcela Subelza,6.000,6.400,7.250,5.800,6.700,,,,,,6.500,7.340,7.080,6.900,7.500,,,,,,6.747
265,357,Pablo Lavadenz,Erika Claros,,,,,,5.700,7.100,6.200,6.600,6.800,,,,,,6.700,7.500,6.800,7.100,6.950,6.745
266,316,Javier Pereyra,Fernanda Carrizo,6.000,6.900,6.970,6.170,6.400,,,,,,6.950,7.300,6.550,6.800,7.400,,,,,,6.744
267,456,Luis Gutiérrez,Yanina Villagra,6.500,7.200,7.230,5.990,5.900,,,,,,6.300,7.370,7.650,7.100,6.200,,,,,,6.744
268,309,Favio Marquez Dos Santos,Valeria Rocio Dabruzzo,6.400,6.000,6.510,6.050,6.950,,,,,,7.100,7.450,7.150,6.700,7.100,,,,,,6.741
269,14,Javier Omar Santillan,Gladys Rivero,7.000,6.100,7.200,6.100,6.500,,,,,,7.100,6.950,7.150,6.500,6.800,,,,,,6.740
270,255,Cristian Aguilera,Ayelen Fernandez,,,,,,6.300,6.500,6.500,6.400,7.450,,,,,,6.750,6.900,7.250,6.400,6.900,6.735
271,719,Sergio Pineda,Estefania Ohse Perez,,,,,,6.400,6.750,6.400,7.600,6.800,,,,,,6.100,7.000,6.300,6.600,7.400,6.735
272,471,David Fernando Miranda Oso,Marielle Cecilia San Martin,6.250,6.750,7.170,6.190,6.150,,,,,,7.200,7.250,6.480,6.700,7.200,,,,,,6.734
273,38,Omar Mendoza,Eva Falxa,6.750,6.650,7.300,5.950,6.300,,,,,,6.900,7.300,6.890,6.000,7.300,,,,,,6.734
274,19,Diego Bulz,Yuka Kitajima,6.000,6.700,6.900,5.700,6.100,,,,,,7.100,7.280,7.550,6.900,7.100,,,,,,6.733
275,374,Fabricio Rosales,Eliana Villarruel,6.500,6.500,7.350,5.780,6.950,,,,,,6.100,7.300,7.180,6.300,7.300,,,,,,6.726
276,222,Claudio Cortes-Miranda,Hoi Shan Leung,6.700,6.500,6.920,6.090,6.000,,,,,,7.750,7.200,6.800,6.500,6.800,,,,,,6.726
277,623,Rodrigo Hernan Saucedo,Wendy Hsiao Wang,6.500,6.700,7.000,6.190,5.600,,,,,,7.100,7.220,7.100,6.900,6.900,,,,,,6.721
278,418,Maximiliano Almeyra,Yamila Daniela Herlein,6.400,7.200,6.400,5.870,7.100,,,,,,6.500,7.060,6.780,6.300,7.600,,,,,,6.721
279,147,Claudio Bethular,Karina Rey,,,,,,7.100,6.800,6.300,6.000,7.250,,,,,,6.300,6.900,7.000,6.500,7.000,6.715
280,349,Lucas Emanuel Nuñez,Victoria Anabel Alvarenga,,,,,,5.900,6.800,7.100,5.300,6.700,,,,,,6.750,6.600,7.300,7.700,7.000,6.715
281,104,Alan Madrigal,Laura Del Águila,6.300,6.900,6.950,5.830,5.950,,,,,,6.300,6.800,7.250,7.600,7.200,,,,,,6.708
282,472,Renildo Nunes,Janes Silva,6.400,6.850,7.900,5.830,5.850,,,,,,6.900,6.480,7.650,6.600,6.600,,,,,,6.706
283,317,Koji Hirai,Naoko Hirai,,,,,,6.500,6.650,6.900,6.550,7.200,,,,,,7.100,6.700,6.900,6.050,6.500,6.705
284,163,Pamela Camia,Maximiliano Vega,6.000,6.750,7.080,5.910,6.950,,,,,,6.900,7.200,6.550,6.900,6.800,,,,,,6.704
285,117,Humberto Morales,Claudia Sanese,7.400,6.550,7.200,5.800,6.400,,,,,,7.600,7.220,5.100,6.900,6.800,,,,,,6.697
286,7,Julio Mariño,Valeria Correa Garcia,6.300,6.200,7.000,6.200,6.550,,,,,,6.900,7.100,7.210,6.900,6.500,,,,,,6.686
287,361,Christian Vega,Victoria Sotomayor,6.200,6.850,7.070,6.010,5.900,,,,,,6.500,7.250,6.990,6.900,7.150,,,,,,6.682
288,569,Carlos Severo Chamorro For,Dámaris Elizabeth Aveiro,6.100,6.200,6.950,5.990,5.800,,,,,,7.800,7.400,7.550,5.800,7.200,,,,,,6.679
289,329,Marcos Nahuel Monzón,Belen Romay,6.300,5.850,7.100,5.930,6.350,,,,,,7.200,7.350,7.000,6.800,6.900,,,,,,6.678
290,178,Ezequiel Martínez,Mathilde Erhard,6.000,6.650,7.100,5.850,6.200,,,,,,7.700,7.200,7.450,5.900,6.600,,,,,,6.665
291,499,Vinicius Osterne,Alexandra Gabriela Ferná,n,,,,,7.100,6.600,6.900,6.800,6.700,,,,,,6.750,6.200,6.200,6.450,6.950,6.665
292,552,Adrian Osuna,Romina Marisa Puccio,6.400,6.000,6.960,5.890,5.950,,,,,,7.100,6.900,7.620,7.200,6.600,,,,,,6.662
293,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
294,43,Gualberto Salvador Cuevas,Nancy Beatriz Cisneros,,,,,,6.900,6.000,7.050,5.800,7.000,,,,,,6.450,7.500,6.900,5.600,7.400,6.660
295,115,Victor Francia,Ginette Sanchez,,,,,,6.300,6.100,6.500,5.500,6.900,,,,,,6.400,7.150,7.500,7.650,6.600,6.660
296,149,Luz Elena de jurado,Sebastián Monsalve,6.300,6.400,7.180,5.790,5.950,,,,,,7.050,6.900,7.310,6.600,7.100,,,,,,6.658
297,152,Francisco Zeni,Giulia Del Porro,6.300,6.800,7.020,5.910,5.900,,,,,,6.500,7.500,7.050,7.000,6.600,,,,,,6.658
298,650,Victor Martin Gonzalez,Natali Claveriz,6.000,6.150,7.180,6.030,7.250,,,,,,6.100,7.050,7.100,6.500,7.200,,,,,,6.656
299,69,Jianhua Cheng,Gesi Tao,,,,,,6.400,5.900,6.800,6.300,7.250,,,,,,6.100,7.700,7.150,6.150,6.800,6.655
300,370,Matías Fuentealba,Valentina Medina,6.000,6.000,7.100,5.990,5.950,,,,,,7.200,7.310,7.300,6.800,6.900,,,,,,6.655
301,295,Jose Valverde,Ana Maria Quibrera,,,,,,6.900,5.380,6.400,5.900,7.300,,,,,,6.800,6.200,7.100,7.150,7.400,6.653
302,13,Mariano Sassano,Vira Baranovska Andrigo,6.300,6.050,7.060,5.970,6.100,,,,,,6.500,7.300,7.150,7.000,7.100,,,,,,6.653
303,519,Jose Ignacio Scabino,Soledad Vera,,,,,,6.500,6.200,5.900,6.950,6.700,,,,,,6.400,7.300,7.150,6.400,7.000,6.650
304,550,Cristian Adrian Lezcano,Elisabet Bertotti,,,,,,6.900,5.900,6.150,6.150,6.700,,,,,,6.600,7.300,6.900,6.900,7.000,6.650
305,658,Jorge Alberto Azorin,Andrea Mariana La Regin,a,,,,,6.900,6.700,6.800,6.850,6.800,,,,,,6.200,6.700,6.150,6.400,7.000,6.650
306,430,Enzo Julian Somoza,Suyai Serpa,6.000,6.900,6.170,6.100,6.000,,,,,,7.100,6.870,7.450,6.900,7.000,,,,,,6.649
307,138,Adrian Pluchinotta,Vivian Lugones,6.500,6.900,6.850,6.150,6.200,,,,,,7.500,7.000,6.180,5.600,7.600,,,,,,6.648
308,710,Mikhail Bubis,Anna Paschinskaya,6.300,6.750,7.070,6.110,5.800,,,,,,6.200,7.000,7.100,6.900,7.200,,,,,,6.643
309,283,Martin Ezequiel Iarussi,Maria Belén Cordoba,6.500,7.150,7.100,5.950,5.900,,,,,,6.500,6.980,7.550,6.200,6.600,,,,,,6.643
310,605,Thomas Patrick,Cynthia Arroyo,6.200,6.350,7.000,5.900,6.000,,,,,,6.900,7.270,6.990,6.400,7.400,,,,,,6.641
311,139,Hector Tobar,Yael Toporowicz,6.200,6.800,6.590,6.000,6.200,,,,,,6.900,7.100,6.810,6.700,7.100,,,,,,6.640
312,335,Valentin Perez,Sofia Carbajal,,,,,,7.050,6.500,7.500,6.800,6.750,,,,,,6.500,5.500,6.800,6.200,6.800,6.640
313,495,Leonardo Córdoba,Maria Lescano,6.000,6.950,7.030,6.050,6.150,,,,,,7.500,7.000,6.100,6.500,7.100,,,,,,6.638
314,134,Raúl Moure,Antonela Méndez,6.200,6.000,7.290,5.990,5.900,,,,,,7.100,7.290,7.090,6.900,6.600,,,,,,6.636
315,266,Kotaro Neshi,Ayaka Neshi,6.250,7.200,6.030,6.060,6.950,,,,,,6.950,6.900,7.100,6.100,6.800,,,,,,6.634
316,656,Nestor Acosta,Liliana Diaz Iribarne,7.000,5.750,7.050,6.010,6.400,,,,,,7.900,6.980,6.850,6.100,6.300,,,,,,6.634
317,462,Alejandro Javier Astuena,Gabriela Lorena Ocaño C,a 6.500,6.600,7.200,5.770,6.200,,,,,,6.100,6.950,7.210,6.800,7.000,,,,,,6.633
318,518,Leonardo Durso,Martha Giorgi,6.300,5.700,7.180,5.850,6.480,,,,,,6.800,7.100,7.220,6.800,6.900,,,,,,6.633
319,196,Rafael D'Amici,Glenda Ghetti,,,,,,6.950,6.600,6.300,6.500,7.200,,,,,,6.200,6.200,6.900,6.450,6.900,6.620
320,209,Federico Votti,Elisabet Lordi,,,,,,6.300,6.350,6.600,7.150,6.950,,,,,,6.100,6.250,6.700,6.150,7.600,6.615
